Position Date Time,Longitude,Latitude,Heading,Average Speed
01/04/2021 10:35:44 AM,-122.395699,37.793812,45,16
01/04/2021 10:36:50 AM,-122.394081,37.793926,135,12
01/04/2021 10:39:00 AM,-122.39299,37.794071,135,17
01/04/2021 10:39:39 AM,-122.391914,37.793106,135,20
01/04/2021 10:40:34 AM,-122.391304,37.792416,150,18
01/04/2021 10:41:25 AM,-122.388176,37.78846,165,29
01/04/2021 10:42:25 AM,-122.388474,37.781944,180,28
01/04/2021 10:42:48 AM,-122.389771,37.779907,225,21
01/04/2021 10:43:34 AM,-122.392365,37.777874,210,23
01/04/2021 10:43:25 AM,-122.391823,37.778332,225,17
01/04/2021 10:46:08 AM,-122.393555,37.775806,120,12
01/04/2021 10:46:36 AM,-122.392334,37.774948,135,20
01/04/2021 10:49:35 AM,-122.389793,37.772415,165,20
01/04/2021 10:49:25 AM,-122.389832,37.77285,165,12
01/04/2021 10:51:56 AM,-122.389038,37.7659,165,29
01/04/2021 10:52:34 AM,-122.388969,37.765049,165,28
01/04/2021 10:53:24 AM,-122.388496,37.758999,165,32
01/04/2021 10:53:20 AM,-122.388474,37.758617,165,32
01/04/2021 10:54:34 AM,-122.388084,37.75465,165,22
01/04/2021 10:55:34 AM,-122.387932,37.752926,165,15
01/04/2021 10:57:26 AM,-122.387428,37.747063,165,30
01/04/2021 10:57:24 AM,-122.38755,37.748295,165,32
01/04/2021 10:58:34 AM,-122.388802,37.740734,195,24
01/04/2021 10:59:33 AM,-122.388977,37.740135,180,13
01/04/2021 11:02:33 AM,-122.389755,37.737812,195,15
01/04/2021 11:02:24 AM,-122.389648,37.738262,180,13
01/04/2021 11:03:24 AM,-122.390411,37.735996,195,20
01/04/2021 11:03:34 AM,-122.390709,37.735149,195,17
01/04/2021 11:05:24 AM,-122.391998,37.731472,195,22
01/04/2021 11:05:35 AM,-122.392334,37.730549,195,16
01/04/2021 11:07:24 AM,-122.393051,37.7286,195,27
01/04/2021 11:07:35 AM,-122.393509,37.727478,195,31
01/04/2021 11:08:24 AM,-122.394844,37.72448,195,28
01/04/2021 11:09:04 AM,-122.396202,37.721424,195,16
01/04/2021 11:08:34 AM,-122.395386,37.723316,195,25
01/04/2021 11:08:24 AM,-122.395233,37.723633,195,31
01/04/2021 11:10:35 AM,-122.399864,37.718929,195,27
01/04/2021 11:11:23 AM,-122.401031,37.712883,210,27
01/04/2021 11:10:23 AM,-122.398895,37.719696,240,34
01/04/2021 11:14:34 AM,-122.406487,37.710262,195,25
01/04/2021 11:16:06 AM,-122.405464,37.708927,105,12
01/04/2021 11:34:35 AM,-122.403351,37.711449,15,17
01/04/2021 11:34:14 AM,-122.403915,37.71064,30,15
01/04/2021 11:35:00 AM,-122.398331,37.716141,15,34
01/04/2021 11:37:38 AM,-122.396683,37.719872,15,21
01/04/2021 11:39:34 AM,-122.394402,37.724918,15,15
01/04/2021 11:42:35 AM,-122.39254,37.729233,0,13
01/04/2021 11:43:22 AM,-122.391777,37.731522,15,19
01/04/2021 11:44:22 AM,-122.39093,37.733967,15,18
01/04/2021 11:48:22 AM,-122.38707,37.745743,345,12
01/04/2021 11:49:22 AM,-122.387115,37.746078,345,18
01/04/2021 11:49:36 AM,-122.387253,37.747578,345,34
01/04/2021 11:50:22 AM,-122.387466,37.750034,345,11
